Order_ID,Order_Date,Customer_ID,Product,Category,Region,Customer_Type,Quantity,Unit_Price,Discount,Sales,Profit,Salesperson
ORD0001,2025-06-10,CUST109,Laptop Pro 14,Electronics,Central,Consumer,6,85000,0.1,459000.0,40800.0,Rohan
ORD0002,2025-12-23,CUST184,Mechanical Keyboard,Electronics,West,Small Business,1,5500,0.05,5225.0,715.0,Rohan
ORD0003,2025-06-14,CUST126,Notebook Set,Office Supplies,South,Consumer,1,450,0.15,382.5,76.5,Anaya
ORD0004,2025-10-28,CUST137,Monitor 27-inch,Electronics,East,Corporate,5,24000,0.05,114000.0,15600.0,Diya
ORD0005,2025-01-24,CUST215,Laptop Pro 14,Electronics,Central,Consumer,4,85000,0.15,289000.0,10200.0,Meera
ORD0006,2025-05-10,CUST017,Wireless Headphones,Electronics,Central,Corporate,6,4500,0.1,24300.0,2160.0,Anaya
ORD0007,2025-03-13,CUST091,Premium Pen Set,Office Supplies,East,Corporate,6,700,0.1,3780.0,924.0,Aarav
ORD0008,2025-09-07,CUST231,Notebook Set,Office Supplies,West,Corporate,2,450,0.1,810.0,198.0,Anaya
ORD0009,2025-05-16,CUST020,Standing Desk,Furniture,East,Small Business,3,22000,0.15,56100.0,6600.0,Diya
ORD0010,2025-06-23,CUST083,Standing Desk,Furniture,South,Corporate,1,22000,0.1,19800.0,3300.0,Rohan
ORD0011,2025-10-31,CUST158,USB-C Hub,Electronics,West,Consumer,4,3200,0.0,12800.0,2304.0,Diya
ORD0012,2025-10-21,CUST211,Monitor 27-inch,Electronics,South,Small Business,6,24000,0.05,136800.0,18720.0,Diya
ORD0013,2025-02-21,CUST209,Mechanical Keyboard,Electronics,North,Small Business,5,5500,0.1,24750.0,2200.0,Aarav
ORD0014,2025-08-31,CUST118,Monitor 27-inch,Electronics,West,Consumer,6,24000,0.1,129600.0,11520.0,Rohan
ORD0015,2025-07-27,CUST010,Notebook Set,Office Supplies,North,Consumer,4,450,0.05,1710.0,486.0,Aarav
ORD0016,2025-06-21,CUST214,Standing Desk,Furniture,East,Consumer,5,22000,0.1,99000.0,16500.0,Rohan
ORD0017,2025-07-22,CUST023,Notebook Set,Office Supplies,East,Small Business,5,450,0.05,2137.5,607.5,Diya
ORD0018,2025-06-09,CUST246,Premium Pen Set,Office Supplies,South,Consumer,1,700,0.02,686.0,210.0,Kabir
ORD0019,2025-03-27,CUST206,USB-C Hub,Electronics,North,Small Business,6,3200,0.0,19200.0,3456.0,Diya
ORD0020,2025-08-30,CUST032,USB-C Hub,Electronics,East,Corporate,3,3200,0.05,9120.0,1248.0,Rohan
ORD0021,2025-05-29,CUST105,USB-C Hub,Electronics,Central,Consumer,5,3200,0.05,15200.0,2080.0,Diya
ORD0022,2025-02-02,CUST193,Office Chair,Furniture,West,Small Business,1,12000,0.0,12000.0,3000.0,Kabir
ORD0023,2025-07-02,CUST235,Monitor 27-inch,Electronics,North,Corporate,2,24000,0.15,40800.0,1440.0,Rohan
ORD0024,2025-05-20,CUST060,Standing Desk,Furniture,South,Small Business,4,22000,0.0,88000.0,22000.0,Meera
ORD0025,2025-02-01,CUST086,Premium Pen Set,Office Supplies,North,Corporate,3,700,0.15,1785.0,357.0,Anaya
ORD0026,2025-09-13,CUST115,Office Chair,Furniture,South,Small Business,7,12000,0.05,79800.0,16800.0,Anaya
ORD0027,2025-09-19,CUST198,Mechanical Keyboard,Electronics,East,Small Business,6,5500,0.02,32340.0,5280.0,Diya
ORD0028,2025-11-26,CUST032,Laptop Pro 14,Electronics,East,Small Business,1,85000,0.05,80750.0,11050.0,Diya
ORD0029,2025-07-31,CUST137,Monitor 27-inch,Electronics,North,Corporate,3,24000,0.15,61200.0,2160.0,Anaya
ORD0030,2025-09-20,CUST166,Laptop Pro 14,Electronics,East,Consumer,6,85000,0.05,484500.0,66300.0,Meera
ORD0031,2025-08-26,CUST158,Wireless Headphones,Electronics,North,Small Business,5,4500,0.0,22500.0,4050.0,Kabir
ORD0032,2025-06-30,CUST048,Monitor 27-inch,Electronics,South,Corporate,1,24000,0.0,24000.0,4320.0,Aarav
ORD0033,2025-08-03,CUST199,Premium Pen Set,Office Supplies,North,Consumer,1,700,0.0,700.0,224.0,Anaya
ORD0034,2025-05-07,CUST154,USB-C Hub,Electronics,East,Consumer,5,3200,0.05,15200.0,2080.0,Aarav
ORD0035,2025-06-26,CUST117,Wireless Headphones,Electronics,West,Consumer,7,4500,0.05,29925.0,4095.0,Aarav
ORD0036,2025-06-29,CUST111,Mechanical Keyboard,Electronics,Central,Consumer,4,5500,0.1,19800.0,1760.0,Meera
ORD0037,2025-04-08,CUST239,Notebook Set,Office Supplies,South,Corporate,4,450,0.15,1530.0,306.0,Meera
ORD0038,2025-01-08,CUST091,Desk Lamp,Furniture,Central,Consumer,4,2500,0.02,9800.0,2300.0,Anaya
ORD0039,2025-07-22,CUST079,Notebook Set,Office Supplies,North,Corporate,1,450,0.02,441.0,135.0,Rohan
ORD0040,2025-08-29,CUST183,Wireless Headphones,Electronics,West,Small Business,2,4500,0.02,8820.0,1440.0,Rohan
